pokemon_number,pokemon_name,pokemon_url,pokemon_height,pokemon_weight,pokemon_types
0026,Raichu,https://pokemondb.net/pokedex/raichu,0.8 m (2′07″),30.0 kg (66.1 lbs),"Electric,Electric,Psychic"
0021,Spearow,https://pokemondb.net/pokedex/spearow,0.3 m (1′00″),2.0 kg (4.4 lbs),"Normal,Flying"
0012,Butterfree,https://pokemondb.net/pokedex/butterfree,1.1 m (3′07″),32.0 kg (70.5 lbs),"Bug,Flying"
0269,Dustox,https://pokemondb.net/pokedex/dustox,1.2 m (3′11″),31.6 kg (69.7 lbs),"Bug,Poison"
0301,Delcatty,https://pokemondb.net/pokedex/delcatty,1.1 m (3′07″),32.6 kg (71.9 lbs),Normal
0326,Grumpig,https://pokemondb.net/pokedex/grumpig,0.9 m (2′11″),71.5 kg (157.6 lbs),Psychic
0325,Spoink,https://pokemondb.net/pokedex/spoink,0.7 m (2′04″),30.6 kg (67.5 lbs),Psychic
0324,Torkoal,https://pokemondb.net/pokedex/torkoal,0.5 m (1′08″),80.4 kg (177.3 lbs),Fire
0354,Banette,https://pokemondb.net/pokedex/banette,1.1 m (3′07″),12.5 kg (27.6 lbs),"Ghost,Ghost"
0402,Kricketune,https://pokemondb.net/pokedex/kricketune,1.0 m (3′03″),25.5 kg (56.2 lbs),Bug
0353,Shuppet,https://pokemondb.net/pokedex/shuppet,0.6 m (2′00″),2.3 kg (5.1 lbs),Ghost
0352,Kecleon,https://pokemondb.net/pokedex/kecleon,1.0 m (3′03″),22.0 kg (48.5 lbs),Normal
0401,Kricketot,https://pokemondb.net/pokedex/kricketot,0.3 m (1′00″),2.2 kg (4.9 lbs),Bug
0400,Bibarel,https://pokemondb.net/pokedex/bibarel,1.0 m (3′03″),31.5 kg (69.4 lbs),"Normal,Water"
0399,Bidoof,https://pokemondb.net/pokedex/bidoof,0.5 m (1′08″),20.0 kg (44.1 lbs),Normal
0398,Staraptor,https://pokemondb.net/pokedex/staraptor,1.2 m (3′11″),24.9 kg (54.9 lbs),"Normal,Flying"
0427,Buneary,https://pokemondb.net/pokedex/buneary,0.4 m (1′04″),5.5 kg (12.1 lbs),Normal
0426,Drifblim,https://pokemondb.net/pokedex/drifblim,1.2 m (3′11″),15.0 kg (33.1 lbs),"Ghost,Flying"
0455,Carnivine,https://pokemondb.net/pokedex/carnivine,1.4 m (4′07″),27.0 kg (59.5 lbs),Grass
0425,Drifloon,https://pokemondb.net/pokedex/drifloon,0.4 m (1′04″),1.2 kg (2.6 lbs),"Ghost,Flying"
0454,Toxicroak,https://pokemondb.net/pokedex/toxicroak,1.3 m (4′03″),44.4 kg (97.9 lbs),"Poison,Fighting"
0453,Croagunk,https://pokemondb.net/pokedex/croagunk,0.7 m (2′04″),23.0 kg (50.7 lbs),"Poison,Fighting"
0452,Drapion,https://pokemondb.net/pokedex/drapion,1.3 m (4′03″),61.5 kg (135.6 lbs),"Poison,Dark"
0451,Skorupi,https://pokemondb.net/pokedex/skorupi,0.8 m (2′07″),12.0 kg (26.5 lbs),"Poison,Bug"
0506,Lillipup,https://pokemondb.net/pokedex/lillipup,0.4 m (1′04″),4.1 kg (9.0 lbs),Normal
0503,Samurott,https://pokemondb.net/pokedex/samurott,1.5 m (4′11″),94.6 kg (208.6 lbs),"Water,Water,Dark"
0502,Dewott,https://pokemondb.net/pokedex/dewott,0.8 m (2′07″),24.5 kg (54.0 lbs),Water
0501,Oshawott,https://pokemondb.net/pokedex/oshawott,0.5 m (1′08″),5.9 kg (13.0 lbs),Water
0500,Emboar,https://pokemondb.net/pokedex/emboar,1.6 m (5′03″),150.0 kg (330.7 lbs),"Fire,Fighting"
0507,Herdier,https://pokemondb.net/pokedex/herdier,0.9 m (2′11″),14.7 kg (32.4 lbs),Normal
0592,Frillish,https://pokemondb.net/pokedex/frillish,1.2 m (3′11″),33.0 kg (72.8 lbs),"Water,Ghost"
0505,Watchog,https://pokemondb.net/pokedex/watchog,1.1 m (3′07″),27.0 kg (59.5 lbs),Normal
0591,Amoonguss,https://pokemondb.net/pokedex/amoonguss,0.6 m (2′00″),10.5 kg (23.1 lbs),"Grass,Poison"
0590,Foongus,https://pokemondb.net/pokedex/foongus,0.2 m (0′08″),1.0 kg (2.2 lbs),"Grass,Poison"
0504,Patrat,https://pokemondb.net/pokedex/patrat,0.5 m (1′08″),11.6 kg (25.6 lbs),Normal
0589,Escavalier,https://pokemondb.net/pokedex/escavalier,1.0 m (3′03″),33.0 kg (72.8 lbs),"Bug,Steel"
0588,Karrablast,https://pokemondb.net/pokedex/karrablast,0.5 m (1′08″),5.9 kg (13.0 lbs),Bug
0587,Emolga,https://pokemondb.net/pokedex/emolga,0.4 m (1′04″),5.0 kg (11.0 lbs),"Electric,Flying"
0586,Sawsbuck,https://pokemondb.net/pokedex/sawsbuck,1.9 m (6′03″),92.5 kg (203.9 lbs),"Normal,Grass"
0585,Deerling,https://pokemondb.net/pokedex/deerling,0.6 m (2′00″),19.5 kg (43.0 lbs),"Normal,Grass"
0669,Flabébé,https://pokemondb.net/pokedex/flabebe,0.1 m (0′04″),0.1 kg (0.2 lbs),Fairy
0668,Pyroar,https://pokemondb.net/pokedex/pyroar,1.5 m (4′11″),81.5 kg (179.7 lbs),"Fire,Normal"
0667,Litleo,https://pokemondb.net/pokedex/litleo,0.6 m (2′00″),13.5 kg (29.8 lbs),"Fire,Normal"
0666,Vivillon,https://pokemondb.net/pokedex/vivillon,1.2 m (3′11″),17.0 kg (37.5 lbs),"Bug,Flying"
0665,Spewpa,https://pokemondb.net/pokedex/spewpa,0.3 m (1′00″),8.4 kg (18.5 lbs),Bug
0721,Volcanion,https://pokemondb.net/pokedex/volcanion,1.7 m (5′07″),195.0 kg (429.9 lbs),"Fire,Water"
0720,Hoopa,https://pokemondb.net/pokedex/hoopa,0.5 m (1′08″),9.0 kg (19.8 lbs),"Psychic,Ghost,Psychic,Dark"
0719,Diancie,https://pokemondb.net/pokedex/diancie,0.7 m (2′04″),8.8 kg (19.4 lbs),"Rock,Fairy,Rock,Fairy"
0717,Yveltal,https://pokemondb.net/pokedex/yveltal,5.8 m (19′00″),203.0 kg (447.5 lbs),"Dark,Flying"
0716,Xerneas,https://pokemondb.net/pokedex/xerneas,3.0 m (9′10″),215.0 kg (474.0 lbs),Fairy
0718,Zygarde,https://pokemondb.net/pokedex/zygarde,5.0 m (16′05″),305.0 kg (672.4 lbs),"Dragon,Ground,Dragon,Ground,Dragon,Ground"
0715,Noivern,https://pokemondb.net/pokedex/noivern,1.5 m (4′11″),85.0 kg (187.4 lbs),"Flying,Dragon"
0714,Noibat,https://pokemondb.net/pokedex/noibat,0.5 m (1′08″),8.0 kg (17.6 lbs),"Flying,Dragon"
0781,Dhelmise,https://pokemondb.net/pokedex/dhelmise,3.9 m (12′10″),210.0 kg (463.0 lbs),"Ghost,Grass"
0780,Drampa,https://pokemondb.net/pokedex/drampa,3.0 m (9′10″),185.0 kg (407.9 lbs),"Normal,Dragon"
0779,Bruxish,https://pokemondb.net/pokedex/bruxish,0.9 m (2′11″),19.0 kg (41.9 lbs),"Water,Psychic"
0778,Mimikyu,https://pokemondb.net/pokedex/mimikyu,0.2 m (0′08″),0.7 kg (1.5 lbs),"Ghost,Fairy"
0777,Togedemaru,https://pokemondb.net/pokedex/togedemaru,0.3 m (1′00″),3.3 kg (7.3 lbs),"Electric,Steel"
0776,Turtonator,https://pokemondb.net/pokedex/turtonator,2.0 m (6′07″),212.0 kg (467.4 lbs),"Fire,Dragon"
0775,Komala,https://pokemondb.net/pokedex/komala,0.4 m (1′04″),19.9 kg (43.9 lbs),Normal
0774,Minior,https://pokemondb.net/pokedex/minior,0.3 m (1′00″),40.0 kg (88.2 lbs),"Rock,Flying,Rock,Flying"
0848,Toxel,https://pokemondb.net/pokedex/toxel,0.4 m (1′04″),11.0 kg (24.3 lbs),"Electric,Poison"
0847,Barraskewda,https://pokemondb.net/pokedex/barraskewda,1.3 m (4′03″),30.0 kg (66.1 lbs),Water
0846,Arrokuda,https://pokemondb.net/pokedex/arrokuda,0.5 m (1′08″),1.0 kg (2.2 lbs),Water
0845,Cramorant,https://pokemondb.net/pokedex/cramorant,0.8 m (2′07″),18.0 kg (39.7 lbs),"Flying,Water"
0844,Sandaconda,https://pokemondb.net/pokedex/sandaconda,3.8 m (12′06″),65.5 kg (144.4 lbs),Ground
0843,Silicobra,https://pokemondb.net/pokedex/silicobra,2.2 m (7′03″),7.6 kg (16.8 lbs),Ground
0842,Appletun,https://pokemondb.net/pokedex/appletun,0.4 m (1′04″),13.0 kg (28.7 lbs),"Grass,Dragon"
0841,Flapple,https://pokemondb.net/pokedex/flapple,0.3 m (1′00″),1.0 kg (2.2 lbs),"Grass,Dragon"
0904,Overqwil,https://pokemondb.net/pokedex/overqwil,2.5 m (8′02″),60.5 kg (133.4 lbs),"Dark,Poison"
0903,Sneasler,https://pokemondb.net/pokedex/sneasler,1.3 m (4′03″),43.0 kg (94.8 lbs),"Fighting,Poison"
0902,Basculegion,https://pokemondb.net/pokedex/basculegion,3.0 m (9′10″),110.0 kg (242.5 lbs),"Water,Ghost,Water,Ghost"
0901,Ursaluna,https://pokemondb.net/pokedex/ursaluna,2.4 m (7′10″),290.0 kg (639.3 lbs),"Ground,Normal,Ground,Normal"
0900,Kleavor,https://pokemondb.net/pokedex/kleavor,1.8 m (5′11″),89.0 kg (196.2 lbs),"Bug,Rock"
0899,Wyrdeer,https://pokemondb.net/pokedex/wyrdeer,1.8 m (5′11″),95.1 kg (209.7 lbs),"Normal,Psychic"
0898,Calyrex,https://pokemondb.net/pokedex/calyrex,1.1 m (3′07″),7.7 kg (17.0 lbs),"Psychic,Grass,Psychic,Ice,Psychic,Ghost"
0897,Spectrier,https://pokemondb.net/pokedex/spectrier,2.0 m (6′07″),44.5 kg (98.1 lbs),Ghost
0965,Varoom,https://pokemondb.net/pokedex/varoom,1.0 m (3′03″),35.0 kg (77.2 lbs),"Steel,Poison"
0966,Revavroom,https://pokemondb.net/pokedex/revavroom,1.8 m (5′11″),120.0 kg (264.6 lbs),"Steel,Poison"
0963,Finizen,https://pokemondb.net/pokedex/finizen,1.3 m (4′03″),60.2 kg (132.7 lbs),Water
0962,Bombirdier,https://pokemondb.net/pokedex/bombirdier,1.5 m (4′11″),42.9 kg (94.6 lbs),"Flying,Dark"
0964,Palafin,https://pokemondb.net/pokedex/palafin,1.3 m (4′03″),60.2 kg (132.7 lbs),"Water,Water"
0961,Wugtrio,https://pokemondb.net/pokedex/wugtrio,1.2 m (3′11″),5.4 kg (11.9 lbs),Water
0959,Tinkaton,https://pokemondb.net/pokedex/tinkaton,0.7 m (2′04″),112.8 kg (248.7 lbs),"Fairy,Steel"
0960,Wiglett,https://pokemondb.net/pokedex/wiglett,1.2 m (3′11″),1.8 kg (4.0 lbs),Water
1024,Terapagos,https://pokemondb.net/pokedex/terapagos,0.2 m (0′08″),6.5 kg (14.3 lbs),"Normal,Normal,Normal"
1023,Iron Crown,https://pokemondb.net/pokedex/iron-crown,1.6 m (5′03″),156.0 kg (343.9 lbs),"Steel,Psychic"
1022,Iron Boulder,https://pokemondb.net/pokedex/iron-boulder,1.5 m (4′11″),162.5 kg (358.3 lbs),"Rock,Psychic"
1021,Raging Bolt,https://pokemondb.net/pokedex/raging-bolt,5.2 m (17′01″),480.0 kg (1058.2 lbs),"Electric,Dragon"
1020,Gouging Fire,https://pokemondb.net/pokedex/gouging-fire,3.5 m (11′06″),590.0 kg (1300.7 lbs),"Fire,Dragon"
1019,Hydrapple,https://pokemondb.net/pokedex/hydrapple,1.8 m (5′11″),93.0 kg (205.0 lbs),"Grass,Dragon"
1018,Archaludon,https://pokemondb.net/pokedex/archaludon,2.0 m (6′07″),60.0 kg (132.3 lbs),"Steel,Dragon"
1017,Ogerpon,https://pokemondb.net/pokedex/ogerpon,1.2 m (3′11″),39.8 kg (87.7 lbs),"Grass,Grass,Water,Grass,Fire,Grass,Rock"
1025,Pecharunt,https://pokemondb.net/pokedex/pecharunt,0.3 m (1′00″),0.3 kg (0.7 lbs),"Poison,Ghost"
1016,Fezandipiti,https://pokemondb.net/pokedex/fezandipiti,1.4 m (4′07″),30.1 kg (66.4 lbs),"Poison,Fairy"
1015,Munkidori,https://pokemondb.net/pokedex/munkidori,1.0 m (3′03″),12.2 kg (26.9 lbs),"Poison,Psychic"
1013,Sinistcha,https://pokemondb.net/pokedex/sinistcha,0.2 m (0′08″),2.2 kg (4.9 lbs),"Grass,Ghost"
1012,Poltchageist,https://pokemondb.net/pokedex/poltchageist,0.1 m (0′04″),1.1 kg (2.4 lbs),"Grass,Ghost"
1011,Dipplin,https://pokemondb.net/pokedex/dipplin,0.4 m (1′04″),4.4 kg (9.7 lbs),"Grass,Dragon"
1010,Iron Leaves,https://pokemondb.net/pokedex/iron-leaves,1.5 m (4′11″),125.0 kg (275.6 lbs),"Grass,Psychic"
1014,Okidogi,https://pokemondb.net/pokedex/okidogi,1.8 m (5′11″),92.0 kg (202.8 lbs),"Poison,Fighting"
1005,Roaring Moon,https://pokemondb.net/pokedex/roaring-moon,2.0 m (6′07″),380.0 kg (837.8 lbs),"Dragon,Dark"
1006,Iron Valiant,https://pokemondb.net/pokedex/iron-valiant,1.4 m (4′07″),35.0 kg (77.2 lbs),"Fairy,Fighting"
1008,Miraidon,https://pokemondb.net/pokedex/miraidon,3.5 m (11′06″),240.0 kg (529.1 lbs),"Electric,Dragon"
1004,Chi-Yu,https://pokemondb.net/pokedex/chi-yu,0.4 m (1′04″),4.9 kg (10.8 lbs),"Dark,Fire"
1002,Chien-Pao,https://pokemondb.net/pokedex/chien-pao,1.9 m (6′03″),152.2 kg (335.5 lbs),"Dark,Ice"
1009,Walking Wake,https://pokemondb.net/pokedex/walking-wake,3.5 m (11′06″),280.0 kg (617.3 lbs),"Water,Dragon"
1003,Ting-Lu,https://pokemondb.net/pokedex/ting-lu,2.7 m (8′10″),699.7 kg (1542.6 lbs),"Dark,Ground"
1000,Gholdengo,https://pokemondb.net/pokedex/gholdengo,1.2 m (3′11″),30.0 kg (66.1 lbs),"Steel,Ghost"
1001,Wo-Chien,https://pokemondb.net/pokedex/wo-chien,1.5 m (4′11″),74.2 kg (163.6 lbs),"Dark,Grass"
0996,Frigibax,https://pokemondb.net/pokedex/frigibax,0.5 m (1′08″),17.0 kg (37.5 lbs),"Dragon,Ice"
0997,Arctibax,https://pokemondb.net/pokedex/arctibax,0.8 m (2′07″),30.0 kg (66.1 lbs),"Dragon,Ice"
0999,Gimmighoul,https://pokemondb.net/pokedex/gimmighoul,0.3 m (1′00″),5.0 kg (11.0 lbs),"Ghost,Ghost"
0995,Iron Thorns,https://pokemondb.net/pokedex/iron-thorns,1.6 m (5′03″),303.0 kg (668.0 lbs),"Rock,Electric"
0993,Iron Jugulis,https://pokemondb.net/pokedex/iron-jugulis,1.3 m (4′03″),111.0 kg (244.7 lbs),"Dark,Flying"
0994,Iron Moth,https://pokemondb.net/pokedex/iron-moth,1.2 m (3′11″),36.0 kg (79.4 lbs),"Fire,Poison"
0998,Baxcalibur,https://pokemondb.net/pokedex/baxcalibur,2.1 m (6′11″),210.0 kg (463.0 lbs),"Dragon,Ice"
0992,Iron Hands,https://pokemondb.net/pokedex/iron-hands,1.8 m (5′11″),380.7 kg (839.3 lbs),"Fighting,Electric"
0991,Iron Bundle,https://pokemondb.net/pokedex/iron-bundle,0.6 m (2′00″),11.0 kg (24.3 lbs),"Ice,Water"
0990,Iron Treads,https://pokemondb.net/pokedex/iron-treads,0.9 m (2′11″),240.0 kg (529.1 lbs),"Ground,Steel"
1007,Koraidon,https://pokemondb.net/pokedex/koraidon,2.5 m (8′02″),303.0 kg (668.0 lbs),"Fighting,Dragon"
0988,Slither Wing,https://pokemondb.net/pokedex/slither-wing,3.2 m (10′06″),92.0 kg (202.8 lbs),"Bug,Fighting"
0987,Flutter Mane,https://pokemondb.net/pokedex/flutter-mane,1.4 m (4′07″),4.0 kg (8.8 lbs),"Ghost,Fairy"
0986,Brute Bonnet,https://pokemondb.net/pokedex/brute-bonnet,1.2 m (3′11″),21.0 kg (46.3 lbs),"Grass,Dark"
0989,Sandy Shocks,https://pokemondb.net/pokedex/sandy-shocks,2.3 m (7′07″),60.0 kg (132.3 lbs),"Electric,Ground"
0985,Scream Tail,https://pokemondb.net/pokedex/scream-tail,1.2 m (3′11″),8.0 kg (17.6 lbs),"Fairy,Psychic"
0984,Great Tusk,https://pokemondb.net/pokedex/great-tusk,2.2 m (7′03″),320.0 kg (705.5 lbs),"Ground,Fighting"
0983,Kingambit,https://pokemondb.net/pokedex/kingambit,2.0 m (6′07″),120.0 kg (264.6 lbs),"Dark,Steel"
0981,Farigiraf,https://pokemondb.net/pokedex/farigiraf,3.2 m (10′06″),160.0 kg (352.7 lbs),"Normal,Psychic"
0979,Annihilape,https://pokemondb.net/pokedex/annihilape,1.2 m (3′11″),56.0 kg (123.5 lbs),"Fighting,Ghost"
0980,Clodsire,https://pokemondb.net/pokedex/clodsire,1.8 m (5′11″),223.0 kg (491.6 lbs),"Poison,Ground"
0982,Dudunsparce,https://pokemondb.net/pokedex/dudunsparce,3.6 m (11′10″),39.2 kg (86.4 lbs),"Normal,Normal"
0977,Dondozo,https://pokemondb.net/pokedex/dondozo,12.0 m (39′04″),220.0 kg (485.0 lbs),Water
0975,Cetitan,https://pokemondb.net/pokedex/cetitan,4.5 m (14′09″),700.0 kg (1543.2 lbs),Ice
0973,Flamigo,https://pokemondb.net/pokedex/flamigo,1.6 m (5′03″),37.0 kg (81.6 lbs),"Flying,Fighting"
0974,Cetoddle,https://pokemondb.net/pokedex/cetoddle,1.2 m (3′11″),45.0 kg (99.2 lbs),Ice
0972,Houndstone,https://pokemondb.net/pokedex/houndstone,2.0 m (6′07″),15.0 kg (33.1 lbs),Ghost
0976,Veluza,https://pokemondb.net/pokedex/veluza,2.5 m (8′02″),90.0 kg (198.4 lbs),"Water,Psychic"
0971,Greavard,https://pokemondb.net/pokedex/greavard,0.6 m (2′00″),35.0 kg (77.2 lbs),Ghost
0978,Tatsugiri,https://pokemondb.net/pokedex/tatsugiri,0.3 m (1′00″),8.0 kg (17.6 lbs),"Dragon,Water,Dragon,Water,Dragon,Water"
0970,Glimmora,https://pokemondb.net/pokedex/glimmora,1.5 m (4′11″),45.0 kg (99.2 lbs),"Rock,Poison"
0957,Tinkatink,https://pokemondb.net/pokedex/tinkatink,0.4 m (1′04″),8.9 kg (19.6 lbs),"Fairy,Steel"
0969,Glimmet,https://pokemondb.net/pokedex/glimmet,0.7 m (2′04″),8.0 kg (17.6 lbs),"Rock,Poison"
0968,Orthworm,https://pokemondb.net/pokedex/orthworm,2.5 m (8′02″),310.0 kg (683.4 lbs),Steel
0955,Flittle,https://pokemondb.net/pokedex/flittle,0.2 m (0′08″),1.5 kg (3.3 lbs),Psychic
0967,Cyclizar,https://pokemondb.net/pokedex/cyclizar,1.6 m (5′03″),63.0 kg (138.9 lbs),"Dragon,Normal"
0958,Tinkatuff,https://pokemondb.net/pokedex/tinkatuff,0.7 m (2′04″),59.1 kg (130.3 lbs),"Fairy,Steel"
0954,Rabsca,https://pokemondb.net/pokedex/rabsca,0.3 m (1′00″),3.5 kg (7.7 lbs),"Bug,Psychic"
0952,Scovillain,https://pokemondb.net/pokedex/scovillain,0.9 m (2′11″),15.0 kg (33.1 lbs),"Grass,Fire"
0956,Espathra,https://pokemondb.net/pokedex/espathra,1.9 m (6′03″),90.0 kg (198.4 lbs),Psychic
0949,Toedscruel,https://pokemondb.net/pokedex/toedscruel,1.9 m (6′03″),58.0 kg (127.9 lbs),"Ground,Grass"
0951,Capsakid,https://pokemondb.net/pokedex/capsakid,0.3 m (1′00″),3.0 kg (6.6 lbs),Grass
0950,Klawf,https://pokemondb.net/pokedex/klawf,1.3 m (4′03″),79.0 kg (174.2 lbs),Rock
0947,Brambleghast,https://pokemondb.net/pokedex/brambleghast,1.2 m (3′11″),6.0 kg (13.2 lbs),"Grass,Ghost"
0948,Toedscool,https://pokemondb.net/pokedex/toedscool,0.9 m (2′11″),33.0 kg (72.8 lbs),"Ground,Grass"
0953,Rellor,https://pokemondb.net/pokedex/rellor,0.2 m (0′08″),1.0 kg (2.2 lbs),Bug
0944,Shroodle,https://pokemondb.net/pokedex/shroodle,0.2 m (0′08″),0.7 kg (1.5 lbs),"Poison,Normal"
0946,Bramblin,https://pokemondb.net/pokedex/bramblin,0.6 m (2′00″),0.6 kg (1.3 lbs),"Grass,Ghost"
0943,Mabosstiff,https://pokemondb.net/pokedex/mabosstiff,1.1 m (3′07″),61.0 kg (134.5 lbs),Dark
0942,Maschiff,https://pokemondb.net/pokedex/maschiff,0.5 m (1′08″),16.0 kg (35.3 lbs),Dark
0941,Kilowattrel,https://pokemondb.net/pokedex/kilowattrel,1.4 m (4′07″),38.6 kg (85.1 lbs),"Electric,Flying"
0940,Wattrel,https://pokemondb.net/pokedex/wattrel,0.4 m (1′04″),3.6 kg (7.9 lbs),"Electric,Flying"
0945,Grafaiai,https://pokemondb.net/pokedex/grafaiai,0.7 m (2′04″),27.2 kg (60.0 lbs),"Poison,Normal"
0939,Bellibolt,https://pokemondb.net/pokedex/bellibolt,1.2 m (3′11″),113.0 kg (249.1 lbs),Electric
0938,Tadbulb,https://pokemondb.net/pokedex/tadbulb,0.3 m (1′00″),0.4 kg (0.9 lbs),Electric
0937,Ceruledge,https://pokemondb.net/pokedex/ceruledge,1.6 m (5′03″),62.0 kg (136.7 lbs),"Fire,Ghost"
0935,Charcadet,https://pokemondb.net/pokedex/charcadet,0.6 m (2′00″),10.5 kg (23.1 lbs),Fire
0934,Garganacl,https://pokemondb.net/pokedex/garganacl,2.3 m (7′07″),240.0 kg (529.1 lbs),Rock
0936,Armarouge,https://pokemondb.net/pokedex/armarouge,1.5 m (4′11″),85.0 kg (187.4 lbs),"Fire,Psychic"
0933,Naclstack,https://pokemondb.net/pokedex/naclstack,0.6 m (2′00″),105.0 kg (231.5 lbs),Rock
0930,Arboliva,https://pokemondb.net/pokedex/arboliva,1.4 m (4′07″),48.2 kg (106.3 lbs),"Grass,Normal"
0928,Smoliv,https://pokemondb.net/pokedex/smoliv,0.3 m (1′00″),6.5 kg (14.3 lbs),"Grass,Normal"
0927,Dachsbun,https://pokemondb.net/pokedex/dachsbun,0.5 m (1′08″),14.9 kg (32.8 lbs),Fairy
0925,Maushold,https://pokemondb.net/pokedex/maushold,0.3 m (1′00″),2.8 kg (6.2 lbs),"Normal,Normal"
0932,Nacli,https://pokemondb.net/pokedex/nacli,0.4 m (1′04″),16.0 kg (35.3 lbs),Rock
0929,Dolliv,https://pokemondb.net/pokedex/dolliv,0.6 m (2′00″),11.9 kg (26.2 lbs),"Grass,Normal"
0926,Fidough,https://pokemondb.net/pokedex/fidough,0.3 m (1′00″),10.9 kg (24.0 lbs),Fairy
0931,Squawkabilly,https://pokemondb.net/pokedex/squawkabilly,0.6 m (2′00″),2.4 kg (5.3 lbs),"Normal,Flying,Normal,Flying,Normal,Flying,Normal,Flying"
0924,Tandemaus,https://pokemondb.net/pokedex/tandemaus,0.3 m (1′00″),1.8 kg (4.0 lbs),Normal
0920,Lokix,https://pokemondb.net/pokedex/lokix,1.0 m (3′03″),17.5 kg (38.6 lbs),"Bug,Dark"
0919,Nymble,https://pokemondb.net/pokedex/nymble,0.2 m (0′08″),1.0 kg (2.2 lbs),Bug
0923,Pawmot,https://pokemondb.net/pokedex/pawmot,0.9 m (2′11″),41.0 kg (90.4 lbs),"Electric,Fighting"
0922,Pawmo,https://pokemondb.net/pokedex/pawmo,0.4 m (1′04″),6.5 kg (14.3 lbs),"Electric,Fighting"
0918,Spidops,https://pokemondb.net/pokedex/spidops,1.0 m (3′03″),16.5 kg (36.4 lbs),Bug
0921,Pawmi,https://pokemondb.net/pokedex/pawmi,0.3 m (1′00″),2.5 kg (5.5 lbs),Electric
0916,Oinkologne,https://pokemondb.net/pokedex/oinkologne,1.0 m (3′03″),120.0 kg (264.6 lbs),"Normal,Normal"
0914,Quaquaval,https://pokemondb.net/pokedex/quaquaval,1.8 m (5′11″),61.9 kg (136.5 lbs),"Water,Fighting"
0913,Quaxwell,https://pokemondb.net/pokedex/quaxwell,1.2 m (3′11″),21.5 kg (47.4 lbs),Water
0912,Quaxly,https://pokemondb.net/pokedex/quaxly,0.5 m (1′08″),6.1 kg (13.4 lbs),Water
0911,Skeledirge,https://pokemondb.net/pokedex/skeledirge,1.6 m (5′03″),326.5 kg (719.8 lbs),"Fire,Ghost"
0910,Crocalor,https://pokemondb.net/pokedex/crocalor,1.0 m (3′03″),30.7 kg (67.7 lbs),Fire
0917,Tarountula,https://pokemondb.net/pokedex/tarountula,0.3 m (1′00″),4.0 kg (8.8 lbs),Bug
0909,Fuecoco,https://pokemondb.net/pokedex/fuecoco,0.4 m (1′04″),9.8 kg (21.6 lbs),Fire
0915,Lechonk,https://pokemondb.net/pokedex/lechonk,0.5 m (1′08″),10.2 kg (22.5 lbs),Normal
0908,Meowscarada,https://pokemondb.net/pokedex/meowscarada,1.5 m (4′11″),31.2 kg (68.8 lbs),"Grass,Dark"
0907,Floragato,https://pokemondb.net/pokedex/floragato,0.9 m (2′11″),12.2 kg (26.9 lbs),Grass
0906,Sprigatito,https://pokemondb.net/pokedex/sprigatito,0.4 m (1′04″),4.1 kg (9.0 lbs),Grass
0905,Enamorus,https://pokemondb.net/pokedex/enamorus,1.6 m (5′03″),48.0 kg (105.8 lbs),"Fairy,Flying,Fairy,Flying"
0896,Glastrier,https://pokemondb.net/pokedex/glastrier,2.2 m (7′03″),800.0 kg (1763.7 lbs),Ice
